,precision,recall,f1-score,support
eswa,0.7537764350453172,0.7200577200577201,0.7365313653136532,693.0
kbs,0.6088709677419355,0.6494623655913978,0.6285119667013528,465.0
accuracy,0.6917098445595855,0.6917098445595855,0.6917098445595855,0.6917098445595855
macro avg,0.6813237013936264,0.6847600428245589,0.682521666007503,1158.0
weighted avg,0.6955890064649437,0.6917098445595855,0.6931557000677813,1158.0
