journal_short_name,n_papers,spearman_correlation,spearman_p_value,linear_slope,linear_intercept,linear_p_value,r_squared
eswa,3465,-0.1926269603143587,2.576781868919433e-30,-0.00940064973203609,19.109004966012844,4.149854913911532e-33,0.04065003019716079
kbs,2323,-0.155705100627682,4.4666996787715225e-14,-0.00747763354838909,15.212090664103725,5.2896535455985957e-14,0.02410423748948879
