Topic,Count,Name,Representation,Representative_Docs
-1,1147,-1_data_learning_based_proposed,"['data', 'learning', 'based', 'proposed', 'model', 'method', 'algorithm', 'results', 'problem', 'abstract']","['Abstract With exponentially increasing the number of digital documents, text classification has become a major task in data science applications. Selecting discriminative features highly relevant to class labels while having low levels of redundancy is essential to improve the performance of text classification methods. In this paper, we propose a novel multi-objective algorithm for text feature selection, called Multi-Objective Relative Discriminative Criterion (MORDC), which balances minimal redundant features against those maximally relevant to the target class. The proposed method employs a multi-objective evolutionary framework to search through the solution space. The first objective function measures the relevance of the text features to the target class, whereas the second one evaluates the correlation between the features. None of these objectives use learning to evaluate the goodness of the selected features; thus, the proposed method can be classified as a multivariate filter method. In order to assess the effectiveness of the proposed method, several experiments are performed on three real-world datasets. Comparisons with state-of-the-art feature selection methods show that in most cases MORDC results in better classification performance.', 'Learning a classifier from groups of unlabeled data, only knowing, for each group, the proportions of data with particular labels, is an important branch of classification tasks that are conceivable in many practical applications. In this paper, we proposed a novel solution for the problem of learning with label proportions (LLP) based on nonparallel support vector machines, termed as proportion-NPSVM, which can improve the classifiers to be a pair of nonparallel classification hyperplanes. The unique property of our method is that it only needs to solve a pair of smaller quadratic programming problems. Moreover, it can efficiently incorporate the known group label proportions with the latent unknown observation labels into one optimization model under a large-margin framework. Compared to the existing approaches, there are several advantages shown as follows: 1) it does not need to make restrictive assumptions on the training data; 2) nonparallel classifiers can be achieved without computing the large inverse matrices; 3) the optimization model can be effectively solved by using the alternative strategy with SMO technique or SOR method; 4) proportion-NPSVM has better generalization ability. Sufficient experimental results on both binary-classes and multi-classes data sets show the efficiency of our proposed method in classification accuracy, which prove the state-of-the-art method for LLP problems compared with competing algorithms.', 'Abstract Hybrid learning algorithms which integrate the merits of the constraint-based methods and the search-and-score methods are used to cope with Bayesian network (BN) structure estimation problem. However, such simple and crude synthesis techniques always consider the global topology information during the learning process and attempt to directly search for the optimal network structure in the enormous solution space for large-scale BNs, resulting in prohibitive computational cost as well as low learning accuracy. Therefore, we propose a novel hybrid structure learning algorithm based on the idea of model decomposition, which takes into account the knowledge of local neighborhood structures. The proposed method works in four stages. We first draft an undirected independence graph by using an efficient Markov blanket discovery approach, and then split the entire network into a series of subgraphs. After learning the small BNs from the observed data, the resultant topology can be obtained by combining these small BNs. Experiments on different benchmark BNs and the varying data sets demonstrate that the proposed algorithm generally gains the better performance of structure recovery than other representative methods, especially for large-scale BNs.']"
0,2195,0_data_proposed_based_model,"['data', 'proposed', 'based', 'model', 'learning', 'method', 'features', 'feature', 'methods', 'results']","['Abstract Classification of histology images is a task that has been widely explored on recent computer vision researches. The most studied approach for this task has been the application of deep learning through a convolutional neural network (CNN) model. However, the use of CNNs in the context of histological images classification has yet some limitations such as the need of large datasets, the slow training time and the difficult to implement a generalized model able to classify different types of histology tissues. In this paper, we propose an ensemble model based on handcrafted fractal features and deep learning that consists of combining the classification of two CNNs by applying the sum rule. We apply feature extraction to obtain 300 fractal features from different histological datasets. These features are reshaped into a 10 × 10 × 3 matrix to compose an artificial image that is given as input to the first CNN. The second CNN model receives as input the correspondent original image. After combining the results of both CNNs, accuracies that range from 89.66% up to 99.62% were obtained from five different datasets. Moreover, our model was able to classify images from datasets with imbalanced classes, without the need for images having the same resolution, and in relative fast training time. We also verified that the obtained results are compatible with the most recent and relevant studies recently published in the context of histology image classification.', 'Abstract Automatic image segmentation is an indispensable step in medical image analysis, and it plays an important role in computer-assisted radiotherapy, disease diagnosis and treatment effect evaluation. The difficulty of medical image segmentation is greatly enhanced by the blurry nature of medical image, the complex shape of objects and the existence of noise. In recent years, segmentation methods based on deep learning, especially convolutional neural network, have made great progress in improving the accuracy of medical image segmentation. However, these methods also have poor ability to distinguish similar objects in different environments, because of insufficient use of the local context information of images during the process of feature extraction. To address this problem, this paper proposes a deep neural network (LCP-Net) that can perceive multi-scale context information of images. LCP-Net improves the utilization of context information of feature encoders by using Parallel Dilated Donvolution (PDC) and Local Context Embedding (LCE), which are beneficial to get feature map rich in environmental information. In addition, to improve the segmentation accuracy of the model for small objects and alleviate the swing issue during training, we propose a novel improved cross-entropy loss (DDCLoss), which can adaptively adjust the weight of loss according to the certainty and deviation distance of the predicted pixel value and enable the model to focus on optimizing the sample points with low certainty and tend to be mislabeled. Experimental results on three different medical datasets demonstrate that compared with the state-of-the-art medical image segmentation models, our proposed LCP-Net can achieve better segmentation performance.', ""Machine learning has become an appealing signature-less approach to detect and classify malware because of its ability to generalize to never-before-seen samples and to handle large volumes of data. While traditional feature-based approaches rely on the manual design of hand-crafted features based on experts knowledge of the domain, deep learning approaches replace the manual feature engineering process by an underlying system, typically consisting of a neural network with multiple layers, that perform both feature learning and classification altogether. However, the combination of both approaches could substantially enhance detection systems. In this paper we present an hybrid approach to address the task of malware classification by fusing multiple types of features defined by experts and features learned through deep learning from raw data. In particular, our approach relies on deep learning to extract N-gram like features from the assembly language instructions and the bytes of malware, and texture patterns and shapelet-based features from malware\\'s grayscale image representation and structural entropy, respectively. These deep features are later passed as input to a gradient boosting model that combines the deep features and the hand-crafted features using an early-fusion mechanism. The suitability of our approach has been evaluated on the Microsoft Malware Classification Challenge benchmark and results show that the proposed solution achieves state-of-the-art performance and outperforms gradient boosting and deep learning methods in the literature.""]"
1,655,1_text_knowledge_model_sentiment,"['text', 'knowledge', 'model', 'sentiment', 'information', 'semantic', 'based', 'language', 'word', 'data']","['Abstract GloVe representations of words as vector embeddings in continuous spaces are learned from matrix factorization of the words’ co-occurrences matrix constructed from large corpora. Due to their high quality as textual features, GloVe embeddings have been extensively utilized for many text mining and natural language processing tasks with considerable success. Further improvements of these word representations can be obtained by also taking into account the valuable information of the semantic properties of the words and the complex relationships between them as provided by semantic lexicons. In this paper we adopt optimization techniques from the domain of machine learning with constrained optimization in order to leverage the relational knowledge between words, and we propose an efficient algorithm that produces word embeddings enhanced by the semantic information. The proposed algorithm outperforms other related approaches that utilize semantic information either during training or as a post-processing step. Our claims are validated by experiments on popular text mining and natural language processing tasks, including word similarities, word analogies, and sentiment analysis, which demonstrate that our proposed model can significantly improve the quality of word vector representations.', 'Abstract Social networks play a key role in providing a new approach to collecting information regarding mobility and transportation services. To study this information, sentiment analysis can make decent observations to support intelligent transportation systems (ITSs) in examining traffic control and management systems. However, sentiment analysis faces technical challenges: extracting meaningful information from social network platforms, and the transformation of extracted data into valuable information. In addition, accurate topic modeling and document representation are other challenging tasks in sentiment analysis. We propose an ontology and latent Dirichlet allocation (OLDA)-based topic modeling and word embedding approach for sentiment classification. The proposed system retrieves transportation content from social networks, removes irrelevant content to extract meaningful information, and generates topics and features from extracted data using OLDA. It also represents documents using word embedding techniques, and then employs lexicon-based approaches to enhance the accuracy of the word embedding model. The proposed ontology and the intelligent model are developed using Web Ontology Language and Java, respectively. Machine learning classifiers are used to evaluate the proposed word embedding system. The method achieves accuracy of 93%, which shows that the proposed approach is effective for sentiment classification.', 'Abstract Relation classification is an important task in natural language processing fields. The goal is to predict predefined relations for the marked nominal pairs in given sentences. State-of-the-art works usually focus on using deep neural networks as classifier to conduct the relation prediction. The rich semantic information of relationships in the triples of existing knowledge graph (KG) can be used as additional supervision for relation classification. However, these relationships were simply used as labels to specify the class of sentences in previous works, and their semantic information was completely ignored. In this paper, a novel approach is proposed for relation classification, which jointly uses information from textual sentences and knowledge graphs. To this end, we introduce a Transformer encoder to measure the semantic similarity between sentences and relation types. Besides, we connect the semantic information of marked nominals in sentences with that of the corresponding entities in knowledge graph to generate the semantic matching information between textual relations and KG relations. The matching information can provide additional supervision for relation classification. Since the words and entities are used interactively with each other in our work, we propose an embedding translating strategy to handle the semantic gap problem between word embeddings and entity embeddings. Experimental results on two widely used datasets, SemEval-2010 Task 8 and TACRED, show that our approach is able to efficiently use the semantic information from the knowledge graph to enhance the performance of the Transformer encoder for relation classification.']"
2,581,2_algorithm_optimization_problems_problem,"['algorithm', 'optimization', 'problems', 'problem', 'search', 'proposed', 'algorithms', 'solutions', 'based', 'results']","['Abstract The Slime Mould Algorithm (SMA) is a recent metaheuristic inspired by the oscillation of slime mould. Similar to other original metaheuristic algorithms (MAs), SMA may suffer from drawbacks, such as being trapped in minimum local regions and improper balance between exploitation and exploration phases. To overcome these weaknesses, this paper proposes a hybrid algorithm: SMA combined to Adaptive Guided Differential Evolution Algorithm (AGDE) (SMA-AGDE). The AGDE mutation method is employed to enhance the swarm agents’ local search, increase the population’s diversity, and help avoid premature convergence. The SMA-AGDE’s performance is evaluated on the CEC’17 test suite, three engineering design problems - tension/compression spring, pressure vessel, and rolling element bearing - and two combinatorial optimization problems - bin packing and quadratic assignment. The SMA-AGDE is compared with three categories of optimization methods: 1) The well-studied MAs, i.e., Biogeography-Based Optimizer (BBO), Gravitational Search Algorithm (GSA), and Teaching Learning-Based Optimization (TLBO), 2) Recently developed MAs, i.e., Harris Hawks Optimization (HHO), Manta Ray Foraging optimization (MRFO), and the original SMA, and 3) High-performance MAs and among the best of IEEE CEC competition, i.e., Evolution Strategy with Covariance Matrix Adaptation (CMA-ES), and AGDE. The overall simulation results reveal that the SMA-AGDE ranked first among the compared algorithms, and so, over different function landscapes. Thus, the proposed SMA-AGDE is a promising optimization tool for global and combinatorial optimization problems and engineering design problems.', 'Abstract Real-world optimization problems demand an efficient meta-heuristic algorithm which maintains the diversity of solutions and properly exploits the search space of the problem to find the global optimal solution. Sine Cosine Algorithm (SCA) is a recently developed population-based meta-heuristic algorithm for solving global optimization problems. SCA uses the characteristics of sine and cosine trigonometric functions to update the solutions. But, like other population-based optimization algorithms, SCA also suffers the problem of low diversity, stagnation in local optima and skipping of true solutions. Therefore, in the present work, an attempt has been made towards the eradication of these issues, by proposing a modified version of SCA. The proposed algorithm is named as modified Sine Cosine Algorithm (m-SCA). In m-SCA, the opposite population is generated using opposite numbers based on perturbation rate to jump out from the local optima. Secondly, in the search equations of SCA self-adaptive component is added to exploit all the promising search regions which are pre-visited. To evaluate the effectiveness in solving the global optimization problems, m-SCA has been tested on two sets of benchmark problems – classical set of 23 well-known benchmark problems and standard IEEE CEC 2014 benchmark test problems. In the paper, the performance of proposed algorithm m-SCA is also tested on five engineering optimization problems. The conducted statistical, convergence and average distance analysis demonstrate the efficacy of the proposed algorithm to determine the efficient solution of real-life global optimization problems.', 'Abstract Increase in complexity of real world problems has provided an area to explore efficient methods to solve computer science problems. Meta-heuristic methods based on evolutionary computations and swarm intelligence are instances of techniques inspired by nature. This paper presents a novel social mimic optimization (SMO) algorithm inspired by mimicking behavior to solve optimization problems. The proposed algorithm is evaluated using 23 test functions. Obtained results are compared with 14 known optimization algorithms including Whale optimization algorithm (WOA), Grasshopper optimization algorithm (GOA), Particle Swarm Optimization (PSO), Stochastic fractal search (SFS), Grey Wolf Optimizer (GWO), Optics Inspired Optimization (OIO), League Championship Algorithm (LCA), Wind Driven Optimization (WDO), Harmony search (HS), Firefly Algorithm (FA), Artificial Bee Colony (ABC), Biogeography Based Optimization (BBO), Bat Algorithm (BA), and Teaching Learning Based Optimization (TLBO). Obtained results indicate higher capability of the SMO algorithm in solving high-dimensional decision variables. Furthermore, SMO is used to solve two classic engineering design problems. Three important features of SMO are simple implementation, solving optimization problems with minimum population size and not requiring control parameters. Results of various evaluations show superiority of the proposed method in finding the optimal solution with minimum function evaluations. This superiority is achieved based on reducing number of initial population. The proposed method can be applied to applications like automatic evolution of robotics, automatic control of machines and innovation of machines in finding better solutions with less cost.']"
3,533,3_recommendation_network_users_user,"['recommendation', 'network', 'users', 'user', 'networks', 'information', 'based', 'graph', 'node', 'nodes']","['Abstract In the past decades, recommendation systems have provided lots of valuable personalized suggestions for the users to address the problem of information over-loaded. Collaborative Filtering (CF) is one of the most commonly applied and successful recommendation approaches, which refers to using the preferences of groups with similar interests to recommend information to other users. Recently, in addition to the traditional matrix factorization techniques, deep learning methods have been proposed to learn more abstract and higher-level representations for recommendation. However, most previous deep recommendation methods learn the higher-level feature representations of users and items through an identical model structure, which ignores the different characteristics of the user-based and item-based data. In addition, the rating matrix is usually sparse which may result in a significant degradation of recommendation performance. To address these problems, we propose a representation learning method with Collaborative Autoencoder for Personalized Recommendation (CAPR for short). In this method, user-based and item-based feature representations are learned by two different autoencoders for capturing different features of the data. Meanwhile, items’ attributions are combined into the feature representations with semi-autoencoder for alleviating the sparsity problem. Extensive experimental results confirm the effectiveness of our proposed method compared to other state-of-the-art matrix factorization methods and deep recommendation methods.', 'Abstract Recommender systems help users to find information that fits their preferences in an overloaded search space. Collaborative filtering systems suffer from increasingly severe data sparsity problem because more and more products are sold in commercial websites, which largely constrains the performance of recommendation algorithms. User clustering has already been applied to recommendation on sparse data in the literature, but in a completely different way. In most existing works, user clustering is directly used to identify the similar users of the target user to whom we want to make recommendation. More specifically, the users who are clustered in the same group of the target user are considered as similar users. However, in this paper we use user clustering to reconstruct the user-item bipartite network such that the network density is significantly improved. The recommendation made on this dense network thus can achieve much higher accuracy than on the original sparse network. The experimental results on three benchmark data sets demonstrate that, when facing the problem of data sparsity, our proposed recommendation algorithm based on node clustering achieves a significant improvement in accuracy and coverage of recommendation.', 'Abstract Heterogeneous information network (HIN) attracts increasing attention from the communities of recommender systems. HIN based recommendation methods can help overcome the difficulties of data sparsity and cold start. The majority of the existing HIN based recommendation methods use path-based semantic similarity between users and/or between items on HINs. However, the existing HIN based recommendation methods using metapath disregard the semantic differences among multiple metapaths (i.e., inter-metapaths) and the influence differences among neighbor pairs in each individual metapath (i.e., intra-metapaths). To solve these problems, we propose an attention-aware metapath-based network embedding for HIN based recommendation. To obtain additional semantic information, our method generates multiple metapath-based weighted homogeneous networks to model the auxiliary information of users and items of HIN. Thereafter, we design a novel self-attention integration to integrate multiple semantic information from multiple weighted homogenous information networks. Lastly, we utilize three deep neural network methods to model the implicit relations between users and items for the rating prediction task. Experimental results of three real-world datasets demonstrate that the proposed model outperforms existing state-of-the-art recommendation methods, solves the data sparsity problem, and models the multiple semantic information of users and items.']"
4,324,4_decision_fuzzy_decision making_making,"['decision', 'fuzzy', 'decision making', 'making', 'criteria', 'method', 'proposed', 'based', 'consensus', 'linguistic']","[""Abstract In a decision-making process, a decision maker is often able to express his/her preferences of importance of the evaluative criteria only linguistically. These linguistic terms can be expressed as triangular fuzzy numbers. To make a decision about the set of alternatives that are evaluated by differently important criteria, a method of decision-making theory can be applied. Many theories do not accept criteria importance in the format of fuzzy numbers, which means that fuzzy numbers must be transformed into criteria weights. For this purpose, not many methods are known. Based on a literature review, Lai and Hwang's optimization approach is selected because this method has least number of shortcomings. Therefore, this method is researched in more detail. The specified problems with the optimization model are eliminated by the proposed improvements and a new comprehensive fuzzy weights estimation method is introduced. Some proposals are explained through illustrative examples. Easy applicability of the proposed method is demonstrated on a real case of making a portfolio of open unit trusts."", 'Abstract Hesitant fuzzy set (HFS) has been a very popular and useful tool to express the uncertainty of decision makers (DMs) when they could not give a determination among several different values in the process of representing preferences. In this paper, we mainly focus on digging the potential/deeper uncertain information of the DMs when they use HFSs to express their evaluation information in the process of decision making. As a result, a new fuzzy information form called normal wiggly hesitant fuzzy set (NWHFS) is proposed to assist the DMs in expressing their evaluation information more completely and improve the rationality of the decision-making result. The NWHFS can keep the hesitant fuzzy information and the deeper uncertain information dug in the hesitant fuzzy information. After that, we propose a score function of normal wiggly hesitant fuzzy information to distinguish the NWHFSs. Moreover, to understand and apply the NWHFSs easily, we investigate some properties of the NWHFSs and propose two preliminary aggregation operators of the NWHFSs. Finally, we use a numerical example involving environmental quality evaluation to verify the efficiency and applicability of the NWHFSs in decision-making and make a comparison between the proposed method and the existing decision-making method.', 'Hesitant fuzzy linguistic preference relation (HFLPR) is of interest because it provides an efficient way for opinion expression under uncertainty. For enhancing the theory of decision making with HFLPR, the paper introduces an algorithm for group decision making with HFLPRs based on the acceptable consistency and consensus measurements, which involves (1) defining a hesitant fuzzy linguistic geometric consistency index (HFLGCI) and proposing a procedure for consistency checking and inconsistency improving for HFLPR; (2) measuring the group consensus based on the similarity between the original individual HFLPRs and the overall perfect HFLPR, then establishing a procedure for consensus ensuring including the determination of decision-makers weights. The convergence and monotonicity of the proposed two procedures have been proved. Some experiments are furtherly performed to investigate the critical values of the defined HFLGCI, and comparative analyses are conducted to show the effectiveness of the proposed algorithm. A case concerning the performance evaluation of venture capital guiding funds is given to illustrate the availability of the proposed algorithm. As an application of our work, an online decision-making portal is finally provided for decision-makers to utilize the proposed algorithms to solve decision-making problems.']"
5,138,5_mining_data_rough_attribute,"['mining', 'data', 'rough', 'attribute', 'set', 'utility', 'patterns', 'based', 'rules', 'algorithm']","['Abstract As big data often contains a significant amount of unstructured, imprecise, and uncertain data, the fuzzy-rough-set-based attribute reduction is a valuable technique for uncertainty reasoning and data mining. However, tradition fuzzy-rough-set algorithms take all data correlations into account, which may lead to challenging requirements for computing and memory space resources. In this paper, we propose a novel Multigranulation Consensus Fuzzy-Rough Attribute Reduction (MCFR) algorithm for big data analysis, which assigns tasks to multiple nodes for parallel computing with different multigranulation weights and creates reasonable granular subpopulations for attribute reduction. A multigranulation margin model with a self-evolving consensus scheme is constructed wherein super elitists are classified into different multigranulation populations using the weighted margins’ matrix to calculate the parallel positive regions. This model allows penalizing super elitists with cooperative behaviors from coarsening to refining. A cascade cross-coevolutionary multigranulation learning model utilizes a more efficient coevolutionary attribute classification with multigranulation flexible thresholds. Here, the super elitist crossover learning strategy is employed to search for elitists’ chromosomes in granular subpopulations to yield better objective function values for handling dynamic big data classification tasks. Our experimental results demonstrate that MCFR can achieve a high performance in addressing uncertainty and fuzzy attribute reduction problems for big datasets with increasing noise. We also demonstrate a practical application of MCFR by using it to automatically segment fMRIs of the neonatal brain tissues at both the global and tissue levels. The results were in the good agreement with expert manual classifications, thus introducing a new method for the medical decision\xa0support\xa0problem of predicting disorders from neonatal brain fMRIs.', 'Abstract Data mining techniques are intensively used to uncover relevant patterns in large volumes of complex data which are continuously extended with newly arrived data instances. Relational association rules (RARs), a data analysis and mining concept, have been introduced as an extension of classical association rules (ARs) for capturing various relationships between the attributes characterizing the data. Due to its NP-completeness, the problem of mining all the interesting RARs within a data set is computationally difficult. As the dimensionality of the data set to be mined increases, the classical algorithm Discovery of Relational Association Rules (DRAR) for RARs mining fails in providing the set of rules in reasonable time. This paper introduces a new approach named CRAR (Concurrent Relational Association Rule mining) which uses concurrency for the RARs discovery process and thus significantly reduces the mining time. The effectiveness of CRAR is empirically validated on nine open source data sets. The reduction in mining time when using CRAR against DRAR emphasizes that it can be successfully applied in various practical data mining scenarios.', 'Abstract High-utility sequential pattern mining (HUSPM) is the task of discovering all sequential patterns in a sequence database whose utility values are equal to or greater than a given minimum utility threshold. HUSPM has become increasingly important in many real-world data mining applications, such as market basket data analysis, weblog mining, and bio-medical gene data analysis, which considers co-occurrence values and quantity, utility (e.g., profit or cost) and time. Current approaches in the literature for HUSPM use the utility matrix to store a sequence database in the memory. Unfortunately, the utility matrix consumes a large amount of main memory. To address this issue, we introduce a pure array structure that reduces the memory consumption when compared to the utility matrix. In addition, HUSPM is also challenged with the downward closure property (DCP) to prune the search space. Recently, HUSPM algorithms have used the upper bound of utility values as the DCP. However, it is usually higher than the actual utility of patterns. Thus, these algorithms may generate many candidate patterns. The large search space leads to poor performance due to excessive runtime and memory usage. One of the reasons is the number of candidate patterns is proportional to the number of requisite projected database scans for calculating their actual utilities. In this paper, we present a novel pruning strategy that efficiently prunes non-HUSPs and significantly reduces the search space compared to the state-of-the-art HUS-Span algorithm. Moreover, we propose a parallel strategy to speed up the mining process. Then, we propose two algorithms which are the pure Array structure for High-utility Sequential (AHUS) pattern mining and AHUS parallel mining (AHUS-P). The AHUS-P algorithm uses shared memory to parallelize the mining process. It concurrently identifies HUSPs based on the advantages of the multi-core processor architecture. The experimental results show that AHUS and AHUS-P can efficiently and effectively discover all HUSPs. Both the proposed algorithms outperform the state-of-the-art HUS-Span algorithm in terms of runtime, memory usage, and scalability for all experimental datasets.']"
6,82,6_clustering_clusters_cluster_algorithm,"['clustering', 'clusters', 'cluster', 'algorithm', 'data', 'density', 'means', 'algorithms', 'clustering algorithms', 'clustering algorithm']","['Abstract A variety of algorithms have recently emerged in the field of cluster analysis. Consequently, based on the distribution nature of the data, an appropriate algorithm can be chosen for the purpose of clustering. It is difficult for a user to decide a priori which algorithm would be the most appropriate for a given dataset. Algorithms based on graphs provide good results for this task. However, these algorithms are vulnerable to outliers with limited information about edges contained in the tree to split a dataset. Thus, in several fields, the need for better clustering algorithms increases and for this reason utilizing robust and dynamic algorithms to improve and simplify the whole process of data clustering has become an urgent need. In this paper, we propose a novel distance-based clustering algorithm called the critical distance clustering algorithm. This algorithm depends on the Euclidean distance between data points and some basic mathematical statistics operations. The algorithm is simple, robust, and flexible; it works with quantitative data that are real-valued, not qualitative, and categorical with different dimensions. In this work, 26 experiments are conducted using different types of real and synthetic datasets taken from different fields. The results prove that the new algorithm outperforms some popular clustering algorithms such as MST-based clustering, K-means, and Dbscan. Moreover, the algorithm can precisely produce more reasonable clusters even when the dataset contains outliers and without specifying any parameters in advance. It also provides a number of indicators to evaluate the established clusters and prove the validity of the clustering.', 'Abstract Expert and intelligent systems use a variety of machine learning techniques to obtain and understand the information inherent in the data. Clustering is one of these techniques, which has become important and popular since it allows classifying an unlabeled dataset into clusters of similar objects. There are many clustering algorithms that have been proposed in the literature. From these algorithms, the Cross-Clustering algorithm is one of the most recent clustering algorithms for partial clustering (clustering where not necessarily all the objects are grouped into clusters), which has provided good results allowing estimating a suitable set of clusters, as well as eliminating outliers. However, this algorithm tends to eliminate too many objects as outliers, which leads to discard a lot of non-outlier objects. Additionally, the Cross-Clustering algorithms spends a lot of time evaluating several combinations of clusterings, trying to determine a suitable number of clusters. To overcome these problems, in this paper, an improved version of the Cross-Clustering algorithm (ICC) is proposed. ICC changes the clustering algorithm used for detecting outliers, as well as it modifies the way outliers are detected. Moreover, a stop criterion allowing to make a fast decision on the estimation of a suitable number of cluster, is also introduced. The performance of the improved Cross-Clustering algorithm is compared with the original algorithm on artificial and real datasets. Our results show that ICC improves the original algorithm and other state of the art clustering algorithms; in both, runtime and clustering quality.', 'Abstract Many clustering algorithms categorized as K-clustering algorithm require the user to predict the number of clusters (K) to do clustering. Due to lack of domain knowledge an accurate value of K is difficult to predict. The problem becomes critical when the dimensionality of data points is large; clusters differ widely in shape, size, and density; and when clusters are overlapping in nature. Determining the suitable K is an optimization problem. Automatic clustering algorithms can discover the optimal K. This paper presents an automatic clustering algorithm which is superior to K-clustering algorithm as it can discover an optimal value of K. Iterative hill-climbing algorithms like K-Means work on a single solution and converge to a local optimum solution. Here, Genetic Algorithms (GAs) find out near global optimum solutions, i.e. optimal K as well as the optimal cluster centroids. Single-objective clustering algorithms are adequate for efficiently grouping linearly separable clusters. For non-linearly separable clusters they are not so good. So for grouping non-linearly separable clusters, we apply Multi-Objective Genetic Algorithm (MOGA) by minimizing the intra-cluster distance and maximizing inter-cluster distance. Many existing MOGA based clustering algorithms are suitable for either numeric or categorical features. This paper pioneered employing MOGA for automatic clustering with mixed types of features. Statistical testing on experimental results on real-life benchmark data sets from the University of California at Irvine (UCI) machine learning repository proves the superiority of the proposed algorithm.']"
7,68,7_privacy_data_federated_preserving,"['privacy', 'data', 'federated', 'preserving', 'learning', 'differential', 'users', 'protection', 'information', 'private']","['Abstract Many models have been proposed to preserve data privacy for different data publishing scenarios. Among these models, ϵ -differential privacy has drawn increasing attention in recent years due to its rigorous privacy guarantees. While many existing solutions using ϵ -differential privacy deal with relational data and set-valued data separately, most of the real-life data, such as electronic health records, are in heterogeneous form. Privacy protection on heterogeneous data has not been widely studied. Furthermore, many existing works in privacy protection consider preserving the utility for the tasks of frequent itemset mining or classification analysis, but few works have focused on data publication for cluster analysis. In this paper, we propose the first differentially-private solution to release heterogeneous data for cluster analysis. The challenge facing us is how to mask raw data without any explicit guidance. Our approach addresses this challenge by converting a clustering problem to a classification problem, in which class labels can be used to encode the cluster structure of the raw data and assist the masking process. The approach generalizes the raw data probabilistically and adds noise to them for satisfying ϵ -differential privacy. Through extensive experiments on real-life datasets, we validate the performance of our approach.', 'Abstract Location-based services, such as DiDi and bike sharing, are becoming increasingly popular. However, the use of these services raises privacy concerns. In the past few years, differential privacy technology has been applied to location information protection. However, most existing models largely fail to resist complex background-knowledge attacks. This paper proposes a novel privacy preservation method for trajectory data. It is based on a prefix tree and uses differential privacy. It should be noted that existing methods only consider either a certain location point or the entire trajectory. In the proposed prefix tree structure, the nodes of the tree store the trajectory segments. The parameter minimum description length method is combined with the Dijkstra method to select feature trajectory points that represent the entire trajectory, thus further reducing the (computational) complexity of data processing. To protect privacy, Laplacian noise is added to the location data of trajectory segments by using differential privacy. In addition, a background and contextual information attack model is proposed, and the corresponding protection method is provided. Finally, a Markov chain is used to limit the size of the noise added to the data. The proposed algorithm is compared with related state-of-the-art algorithms on a public dataset. The results demonstrate that our algorithm can ensure not only privacy but also data availability.', ""Probabilistic matrix factorization (PMF) plays a crucial role in recommendation systems. It requires a large amount of user data (such as user shopping records and movie ratings) to predict personal preferences, and thereby provides users high-quality recommendation services, which expose the risk of leakage of user privacy. Differential privacy, as a provable privacy protection framework, has been applied widely to recommendation systems. It is common that different individuals have different levels of privacy requirements on items. However, traditional differential privacy can only provide a uniform level of privacy protection for all users. \nIn this paper, we mainly propose a probabilistic matrix factorization recommendation scheme with personalized differential privacy (PDP-PMF). It aims to meet users' privacy requirements specified at the item-level instead of giving the same level of privacy guarantees for all. We then develop a modified sampling mechanism (with bounded differential privacy) for achieving PDP. We also perform a theoretical analysis of the PDP-PMF scheme and demonstrate the privacy of the PDP-PMF scheme. In addition, we implement the probabilistic matrix factorization schemes both with traditional and with personalized differential privacy (DP-PMF, PDP-PMF) and compare them through a series of experiments. The results show that the PDP-PMF scheme performs well on protecting the privacy of each user and its recommendation quality is much better than the DP-PMF scheme.""]"
